date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:50	89/89	---M--	200	added ('OK')	text/plain	etag:%227fcfd7944a4cd7e07ccc3f36f1b91217%22	http://localhost:2368/robots.txt		(from )
15:46:51	16627/16627	---MCZ	200	added ('OK')	text/html	etag:W/%2240f3-Ua0I8cPi1TS6IygdAfnju1V2lGA%22	http://localhost:2368/	./static-site/localhost_2368/index.html	(from )
15:46:51	44984/44984	---MCZ	200	added ('OK')	text/css	etag:W/%22afb8-176dbd04460%22	http://localhost:2368/assets/built/screen.css?v=ee0df8fc98	./static-site/localhost_2368/assets/built/screene6a9.css	(from http://localhost:2368/)
15:46:52	3566/3566	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dee-176dbd04460%22	http://localhost:2368/assets/built/casper.js?v=ee0df8fc98	./static-site/localhost_2368/assets/built/caspere6a9.js	(from http://localhost:2368/)
15:46:54	3200/3200	---MCZ	200	added ('OK')	text/xml	etag:W/%22c80-+1F9/H3JYUXcM6jz4GJJ0Euh2y8%22	http://localhost:2368/rss/	./static-site/localhost_2368/rss/index.html	(from http://localhost:2368/)
15:46:54	10329/10329	---MCZ	200	added ('OK')	text/html	etag:W/%222859-Dm3CWG7jWJ0u3NtMttPRNX6Kk+c%22	http://localhost:2368/tag/getting-started/	./static-site/localhost_2368/tag/getting-started/index.html	(from http://localhost:2368/)
15:46:54	11279/11279	---MCZ	200	added ('OK')	text/html	etag:W/%222c0f-0G1+Gq7k24a5BVN7nTnEpSF7JTk%22	http://localhost:2368/author/ghost/	./static-site/localhost_2368/author/ghost/index.html	(from http://localhost:2368/)
15:46:54	16166/16166	---MCZ	200	added ('OK')	text/html	etag:W/%223f26-KDu6RaF8euqMQpiV8hi0gPXwieg%22	http://localhost:2368/welcome/	./static-site/localhost_2368/welcome/index.html	(from http://localhost:2368/)
15:46:55	8535/8535	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%222157-sn9SScMm+g/Z6Oz+Lcl32YqqB3g%22	http://localhost:2368/the-editor/	./static-site/localhost_2368/the-editor/index.html	(from http://localhost:2368/welcome/)
15:46:55	19373/19373	---MCZ	200	added ('OK')	text/html	etag:W/%224bad-0j2KNcReTt8i/Jm4nm9EpO1YS9A%22	http://localhost:2368/welcome/amp/	./static-site/localhost_2368/welcome/amp/index.html	(from http://localhost:2368/welcome/)
